text,label
The product exceeded my expectations!,1
"Absolutely terrible experience, I regret buying it.",-1
"It's okay, nothing special.",0
I love this! Highly recommend to everyone.,1
The service was poor and disappointing.,-1
"It works as described, no complaints.",0
Fantastic quality and great value for money!,1
Horrible! It broke within a week.,-1
"Meh, it's neither good nor bad.",0
Superb! Will buy again for sure.,1
"Awful experience, will never return.",-1
"Average product, does the job.",0
Exceptional! Truly amazing.,1
"Not worth the price, very dissatisfied.",-1
"It's decent, could be better though.",0
Wonderful! Exceeded all expectations.,1
"Very bad quality, not recommended.",-1
"Neutral about this product, can't decide.",0
I am so happy with this purchase!,1
Terrible packaging and delivery.,-1
"Just average, nothing to write home about.",0
The best thing I've ever bought!,1
"Very dissatisfied, waste of money.",-1
"Neither good nor bad, just okay.",0
"Amazing experience, totally satisfied.",1
Horrible customer service ruined everything.,-1
"It's fine, does what it says.",0
"Excellent in every way, love it!",1
"Completely useless, don't waste your money.",-1
"Not bad, but not great either.",0
Incredible product! Highly recommend.,1
Defective and poorly made.,-1
"Neutral opinion, nothing special.",0
Great value and exceptional service.,1
"Very disappointing, do not buy.",-1
"Somewhat okay, but could improve.",0
Perfect! Couldn't be happier.,1
The item arrived damaged and unusable.,-1
Just another average product.,0
"Absolutely love it, worth every penny!",1
"Terrible experience, highly disappointed.",-1
"Not too bad, but not impressive.",0
"This is fantastic, would recommend!",1
Worst product I've ever owned.,-1
"It's okay, but not great.",0
Excellent quality and service!,1
"Awful, would not recommend.",-1
"An average experience, nothing more.",0
Perfect in every way!,1
"Horrible experience, never again.",-1
"Does the job, but nothing special.",0
"Superb quality, absolutely love it.",1
"Very poorly made, not satisfied.",-1
Neutral about the overall experience.,0
Amazing! Best purchase this year.,1
"Terribly dissatisfied, avoid at all costs.",-1
"Just alright, nothing extraordinary.",0
"Great product, very satisfied!",1
"Complete disaster, awful quality.",-1
"It's fine, nothing to complain about.",0
Love it! Will buy again.,1
"Disappointing, expected much better.",-1
Neutral feelings about it.,0
"Fantastic experience, very happy!",1
"Horrible quality, never buying again.",-1
"Not good, but not terrible either.",0
"Totally worth it, highly recommend.",1
"Really bad, I'm so unhappy.",-1
Neutral thoughts about it.,0
Amazing service and quality!,1
Terrible design and execution.,-1
"Okay product, just meets expectations.",0
"Exceeded expectations, absolutely fantastic!",1
"Would not recommend, very disappointed.",-1
"Nothing special, just average.",0
Super happy with this product!,1
"Awful, broke after one use.",-1
"Neutral experience, can't complain.",0
"Outstanding product, well done!",1
"Bad experience, would not buy again.",-1
"Neither good nor bad, indifferent.",0
"Highly impressed, great job!",1
"Terrible experience, totally unsatisfied.",-1
"Okayish product, average experience.",0
"Absolutely brilliant, loved it!",1
"Awful service, very unhappy.",-1
"Neutral thoughts, no strong feelings.",0
"Fantastic, exceeded expectations!",1
"Terrible, complete waste of money.",-1
"Just okay, nothing more to add.",0
